Prefixes transited per AS (Global)
----------------------------------

  ASN   No of nets  Description
44902       23      COV-ASN , FR
45017       23      LIRUKRFIRST-AS , UA
45400       23      NICNET Korea Telecom-PUBNET, KR
47886       23      EQUINIX-NL-ASN , NL
47887       23      NEU-AS , JO
53076       23      INTERPIRA INTERNET SERVICE PROVIDER LTD
 1555       22      DNIC-ASBLK-01550-01601 - DoD Network In
 4263       22      CERNET-ASN-BLOCK - California Education
 5413       22      AS5413 , GB
 5726       22      INTERWORLD - InterWorld Communications,
 6300       22      CCI-TEXAS - Consolidated Communications
 6428       22      CDM - CDM, US
 6702       22      APEXNCC-AS Gagarina avenue, building 7,
 7908       22      BT LATAM Venezuela, S.A., VE
 8301       22      GIBTELECOMNET , GI
 8778       22      SLOVANET http://www.slovanet.net/, SK
10764       22      STARTAP - National Center for Supercomp
11290       22      RAPIDUS - Cogeco Cable Holdings Inc, CA
14135       22      NAVISITE-EAST-2 - Navisite, Inc., US
14589       22      DIGITALWEST-AS - Digital West Networks,
15180       22      UOL DIVEO S.A., BR
15497       22      COLOCALL Internet Data Center "ColoCALL
18106       22      VIEWQWEST-SG-AP Viewqwest Pte Ltd, SG
20002       22      Telstar S.A., UY
21150       22      INACDE-ATOS , DE
21195       22      DGCSYSTEMS Stockholm Sweden, SE
22898       22      ATLINK - ATLINK SERVICES, LLC, US
24233       22      BIGAIR-AU BigAir Group, AU
27884       22      CABLECOLOR S.A., HN
33182       22      DIMENOC - HostDime.com, Inc., US
33483       22      INTERCARRIER-NETWORKS - InterCarrier Ne
37558       22      LITC, LY
38154       22      PSN-NAP-AS PT. Pasifik Satelit Nusantar
39442       22      UNICO-AS , RU
39545       22      FLUIDATA , GB
39811       22      MTSNET-FAR-EAST-AS An Autonomous System
41887       22      PROLOCATION Transit policy pref 100, NL
42673       22      SKYWARE-AS , PL
48635       22      PCEXTREME , NL
48951       22      ASN-TSI-IAS Internet and VPN Service Pr
50683       22      SITABINFRA-GLOBAL-AS SITAB Infrastruktu
52323       22      Colsecor Cooperativa Limitada, AR
54376       22      LYNX-NETWORK-GROUP - Lynx Network Group
54489       22      CORESPACE-DAL - CoreSpace, Inc., US
57858       22      AS57858 , EE
58495       22      HSPNET-AS-ID PT Parsaoran Global Datatr
59587       22      PJSCFARSTELECOMMUNICATIONCOMPANY , IR
60636       22      ALAMI-AS , IL
61570       22      ENTERIW PROVEDOR DE INTERNET LTDA, BR
61945       22      2R TELECOM S/A, BR
    4       21      ISI-AS - University of Southern Califor
  558       21      NETDC - Net Data Centers, Inc., US
 2734       21      CORESITE - CoreSite, US
 4040       21      KORNET-PS-AS-KR Korea Telecom, KR
 4628       21      PACIFICINTERNET Pacific Internet (S) Pt
 4741       21      SAMART-BOARDER-AS Samart Corporation Co
 6122       21      ICN-AS - Iowa Communications Network, U
 6677       21      ICENET-AS1 , IS
 6679       21      SKADI-AS , CZ
 8426       21      CLARANET-AS ClaraNET LTD, GB
 9038       21      BAT-AS9038 , JO
 9370       21      SAKURA-B SAKURA Internet Inc., JP
 9534       21      MAXIS-AS1-AP Binariang Berhad, MY
11960       21      EMPRESA DE TELECOMUNICACIONES DE CUBA S
12637       21      SEEWEB Web hosting, colocation and clou
12778       21      NETSI NETSI.NET AS, SI
13156       21      AS13156 Palmela, PT
13414       21      TWITTER - Twitter Inc., US
13825       21      TROYCABLE-NET - Troy Cablevision, Inc.,
14371       21      PBNET - Paul Bunyan Communications, US
14477       21      FLTG - FINGER LAKES TECHNOLOGIES GROUP,
14989       21      BROADVIEWNET - Broadview Networks, Inc.
19711       21      SWAZINET, SZ
20214       21      COMCAST-20214 - Comcast Cable Communica
21021       21      MULTIMEDIA-AS Cable DTV Internet Voice 
22911       21      SINAP-TIX - SINAP-TIX, LLC, US
22958       21      FIDELITY-001 - Fidelity Access Networks
23248       21      PPS - Paducah Power System, US
24028       21      CNXNET-AS-MY REDtone, MY
24492       21      IIT-WICAM-AS-AP WiCAM Corporation, LTD,
25512       21      CDT-AS The Czech Republic, CZ
27026       21      NETWORKMARYLAND - networkMaryland, US
28202       21      Rede Brasileira de Comunicacao Ltda, BR
28825       21      ASTELE21 , RU
28884       21      MR-SIB-MTSAS MR Sibir, RU
28926       21      DONTELE-AS , UA
29069       21      TLK-AS , RU
29684       21      NOURNET-ASN , SA
31040       21      CYBERTEL , KZ
31216       21      BSOCOM , FR
34248       21      VELTON-TC-AS Kharkov, Ukraine, UA
37619       21      BSC-AS, RW
38835       21      VIAIP-AS-AP Via IP, AU
42560       21      BA-TELEMACH-AS Telemach d.o.o. Sarajevo
45650       21      VIANET-NP Vianet Communications Pvt. Lt
45841       21      P4NETWORKS-IN We Internet Ltd,14 Janaki
49788       21      NEXTHOP , NO
50304       21      BLIX , NO
53085       21      MKANET SERVICOS E COMERCIO DE INFORMATI
53292       21      ROUTE-256 - ManagedWay, US
55515       21      GOIP-AULA GOIP-AULA-LIMITED, CN
58002       21      SINFORM , RU
59362       21      KSNETWORK-AS-AP KS Network Limited, BD
62874       21      WEB2OBJECTS - Web2Objects LLC, US
  149       20      DNIC-AS-00149 - DoD Network Information
 1785       20      AS-PAETEC-NET - PaeTec Communications, 
 3213       20      BOGONS-ASN , GB
 4795       20      INDOSATM2-ID INDOSATM2 ASN, ID
 5537       20      RU-CENTER-AS , RU
 8368       20      BENESOL-BACKBONE International Backbone
 8897       20      KCOM-SPN (Service-Provider Network) (ex
 9051       20      Beirut-Lebanon, LB
 9584       20      GENESIS-AP Diyixian.com Limited, HK
11714       20      ASN-UNEB - University of Nebraska Centr
12687       20      URAN Kiev, Ukraine, UA
14051       20      SUREWEST - Consolidated Communications,
14551       20      UUNET-SA - MCI Communications Services,
15493       20      RUSCOMP-AS Closed Joint Stock Company "
15699       20      AS_ADAM F.ROOT-SERVERS.NET - Cesca Barc
15743       20      NETDE net.de AG, DE
16160       20      SWAN Bratislava, Slovakia, SK
17113       20      COMMRAIL - Access Northeast Inc., US
17668       20      SPTEL-AP Soul Pattinson Telecommunicati
17820       20      DIL-AP DIRECT INTERNET LTD., IN
17857       20      NAKDONGDIGITALBUSANNET-AS-KR Tbroad Nak
18451       20      LESNET - LES.NET, CA
18566       20      MEGAPATH5-US - MegaPath Corporation, US
21508       20      COMCAST-21508 - Comcast Cable Communica
23750       20      GERRYS-AS-AP GERRYS INFORMATION TECHNOL
24958       20      TBSH , GB
25293       20      KASSIR-AS , RU
25887       20      SLIAC - St Louis Internet2 Access Conso
27044       20      DNIC-ASBLK-27032-27159 - DoD Network In
28258       20      Infoline - Comunicações e Informações E
28271       20      DataCorpore Serviços e Representações, 
28279       20      Telgo Telecomunicações Goiás Ltda., BR
28624       20      CLAUDEMON SILVEIRA - ME, BR
28717       20      ZENSYSTEMS-AS , DK
31083       20      TELEPOINT , BG
31117       20      ENERGOTEL-AS , SK
31214       20      TIS-DIALOG-AS , RU
32097       20      WII-KC - WholeSale Internet, Inc., US
33517       20      DYNDNS - Dynamic Network Services, Inc.
34744       20      GVM Aleea Diham 5, Bl.M5, Sc.A, Ap.46, 
36408       20      CDNETWORKSUS-02 - CDNetworks Inc., US
36874       20      Cybersmart, ZA
38176       20      ABS-PEERING-AS-AP Asia Broadcast Satell
38235       20      MEKONGNET-ADC-AS-AP ANGKOR DATA COMMUNI
42610       20      NCNET-AS , RU
45942       20      SIKKANET-AS-AP Sikka Broadband Pvt. Ltd
47242       20      COLTENGINE COLTENGINE Network, IT
47764       20      MAILRU-AS Mail.Ru, RU
47895       20      R-LINE-AS , RU
53065       20      OpçãoNet Informática Ltda ME, BR
54020       20      ADMONET-LLC - Admo.net LLC, US
56630       20      MELBICOM-EU-AS , NL
58256       20      REFATEC , IR
58782       20      TORONLIMITED-BD Toron Ltd., BD
59165       20      AUSPICE-AS Auspice Infratel Pvt. Ltd., 
60587       20      XINON-CARRIER-AS , AT
64098       20      IPTRANSIT-AS-AP IP Transit Pty Ltd, AU
 2527       19      SO-NET So-net Entertainment Corporation
 3225       19      GULFNET-KUWAIT , KW
 3663       19      NETNET-NET - NetNet, US
 3801       19      MISNET - Mikrotec Internet Services, US
 4670       19      HYUNDAI-KR Shinbiro, KR
 5568       19      RBNET , RU
 6224       19      CENTURYLINK-MTIPS2 - Qwest Communicatio
 6536       19      CITYNET - CityNet, US
 6718       19      SERVER-RO NAV Telecom's DC, RO
 8245       19      VIDEOBROADCAST-AS , AT
 8251       19      NFX_ZSPO , CZ
 8680       19      , GB
10965       19      MRNET - MRNet, CA
11240       19      ATC-BROADBAND - AccessATC, US
11979       19      BLUENET - Bluegrass Network LLC, US
12188       19      Q9-AS - Q9 Networks Inc., CA
12530       19      GOLDENTELECOM-UKRAINE "SvitOnline" trad
12668       19      MIRALOGIC-AS , RU
16245       19      NGDC , DK
16832       19      SECOM-1 - Secom, Inc, US
18712       19      SUREWEST-KANSAS - SureWest Kansas Opera
20057       19      ATT-MOBILITY-LLC-AS20057 - AT&T Mobilit
20746       19      ASN-IDC T.NO.OM.I.NC, IT
21341       19      SINET-AS Access Service Provider, IR
21637       19      SMART-121 - Vivint Wireless, Inc., US
22645       19      NTG - North Texas GigaPOP, US
23889       19      MauritiusTelecom, MU
24560       19      AIRTELBROADBAND-AS-AP Bharti Airtel Ltd
24852       19      VINITA , LT
25086       19      URALTC-AS , RU
25983       19      SHAW-ENVISION - Enmax Envision Inc., CA
28513       19      Uninet S.A. de C.V., MX
33084       19      DC-NET - DC-Net, US
38264       19      WATEEN-IMS-PK-AS-AP National WiMAX/IMS 
40581       19      AREON-AS - Arkansas Research and Educat
45960       19      YTLCOMMS-AS-AP YTL COMMUNICATIONS SDN B
47123       19      MEDNAUTILUS , TR
48196       19      MAN-CASTRES-AS , FR
48644       19      SEMELE to AS15924 announce AS4864, TR
49605       19      DTS-AS , IT
51007       19      MEDIAPRO-AS , ES
52696       19      JTR DA SILVA TECNOLOGIA ME, BR
52872       19      VOANET Telecomunicações Ltda., BR
55685       19      JLM-AS-ID PT Jala Lintas Media, ID
58779       19      I4HKLIMITED-AS i4HK Limited, HK
  195       18      SDSC-AS - San Diego Supercomputer Cente
 1226       18      CTA-42-AS1226 - California Technology A
 1547       18      IDK-NETWORK , MD
 3714       18      KEC-NET - Kentucky Educational Computin
 3737       18      PTD-AS - PenTeleData Inc., US
 3910       18      CENTURYLINK-EUROPE-LEGACY-QWEST - Qwest
 4264       18      CERNET-ASN-BLOCK - California Education
 4771       18      SPARKNZ Spark New Zealand Trading Ltd.,
 6391       18      URBAN-15-AS - Urban Networks Inc., CA
 7048       18      Linha Livre Internet Ltda, BR
 7430       18      TANDEM - Hewlett-Packard Company, US
 7690       18      MIRAI Mirai Communication Network Inc.,
 8393       18      ASTEL-AS Alma-Ata, KZ
 8571       18      PARDIS , IR
 9230       18      BOL-BD-AP Bangladesh Online Ltd., BD
 9500       18      VODAFONE-TRANSIT-AS Vodafone NZ Ltd., N
11853       18      ASN-INTERNAP-BLK - Internap Network Ser
12703       18      PULSANT-AS , GB
12897       18      HEAGMEDIANET Darmstadt, Germany, DE
17924       18      SMARTONE-MB-AS-AP SmarTone Mobile Commu
18618       18      WCENTRALN - west central wireless, US
20647       18      IPB Backbone AS, DE
20811       18      BRENNERCOM-AS , IT
21473       18      MANET-AS Koschatplatz 1, DE
23956       18      AMBERIT-BD-AS AmberIT Limited, BD
24173       18      NETNAM-AS-AP Netnam Company, VN
24679       18      SSERV-AS , DE
25074       18      INETBONE-AS , DE
28287       18      Acer Telecomunicações ltda, BR
28878       18      SIGNET-AS , NL
29124       18      ISKRATELECOM-AS SEVEN-SKY, RU
29648       18      COMLINE-AS , RU
31263       18      MYNET-AS , IT
31376       18      SMART-AS , RU
33965       18      LITECOM Litecom AG, CH
34056       18      KIEVNET - DTEL-IX v6-, UA
40328       18      ACEGROUP - Ace Communications Group, US
40824       18      WZCOM-US - WZ Communications Inc., US
42187       18      REGIT-AS , RU
43561       18      NET1-AS , BG
47862       18      ANKABUT , AE
48176       18      OOOSET-AS , RU
50618       18      LIAZO , FR
52956       18      Speed Travel Comunicação Multimídia Ltd
58507       18      WL-AS-AP Wireline, AU
61581       18      INFOMAISNET TELECOM LTDA, BR
61666       18      GLOBO INFORMATICA LTDA - ME, BR
  206       17      CSC-IGN-AMER - Computer Sciences Corpor
 2698       17      IASTATE-AS - Iowa State University, US
 2906       17      AS-SSI - Netflix Streaming Services Inc
 3372       17      MCI-ASN - MCI, US
 5381       17      POWTECH-AS Postboks 856 Sentrum, NO
 5693       17      LATISYS-IRVINE - Latisys-Irvine, LLC, U
 6059       17      UMS2-ASN - University of Maryland, US
 7754       17      MCAFEE - McAfee, Inc., US
 7784       17      ATLANTECH - Atlantech Online, Inc., US
 8491       17      BSH-AS , RU
11686       17      ENA - Education Networks of America, US
12716       17      MOBILTEL , BG
12722       17      RECONN , RU
12963       17      VOLZ Scientific -Industrial Firm "Volz"
13118       17      ASN-YARTELECOM PJSC Rostelecom, RU
13238       17      YANDEX , RU
17223       17      LATISYS-CHICAGO - Latisys-Chicago, LLC,
17645       17      NTT-SG-AP ASN - NTT SINGAPORE PTE LTD, 
18002       17      WORLDPHONE-IN AS Number for Interdomain
18883       17      FIBERNET-NETWORK-OPERATIONS-CENTER - Fi
23657       17      BLUESKY-AS-AP Blue Sky Communications, 
25386       17      INTERTELECOM-AS , UA
26827       17      EPBTELECOM - EPB Fiber Optics, US
27258       17      KAMOPOWER - KAMO Electric Cooperative, 
28032       17      INTERNEXA PERU S.A, PE
28634       17      Life Tecnologia Ltda., BR
29909       17      LESSE - MetroOptic, Inc., CA
30722       17      VODAFONE-IT-ASN , IT
31313       17      STS Bucharest, 323A Splaiul Independent
33362       17      WIKTEL - Wikstrom Telephone Company, In
34241       17      NCT-AS , RU
35847       17      AS-ICTX - Interfacing Company of Texas,
36974       17      AFNET-AS, CI
39401       17      LINKPLUSBG , BG
40702       17      CLEARWAVE-COMMUNICATIONS - Clearwave Co
40948       17      STRATUS-NETWORKS - Stratus Networks, US
41938       17      RTCOMM-VOLGA-URAL-AS , RU
43192       17      IMEDIA-AS , IE
45495       17      INTERCHANGE-AS-VU-AP Interchange Ltd., 
45763       17      SELEMENTS-AU-SYD Service Elements, AU
46832       17      UNIVERSITY-OF-MISSOURI-SYSTEM-INTER-CAM
48964       17      ENTERRA-AS , UA
50771       17      TTK-LTD-AS , RU
51408       17      SIRIUS-AS , RU
52589       17      multlink informatica e telecomunicaçlõe
52683       17      HiperNET Servico de Comunicacao LTDA ME
55947       17      BBNL-IN Bangalore Broadband Network Pvt
61468       17      CEDIA, EC
63990       17      UNKNOWN
 1930       16      RCCN Fundacao para a Ciencia e a Tecnol
 2665       16      CDAGOVN - Shared Services Canada, CA
 3313       16      INET-AS , IT
 5639       16      Telecommunication Services of Trinidad 
 6568       16      Entel S.A. - EntelNet, BO
 6731       16      COMSTAR-AS COMSTAR Telecommunications, 
 7679       16      QTNET Kyushu Telecommunication Network 
 8513       16      SKYVISION , GB
 8542       16      BKK-FIBER-AS-8542 Norway, NO
 8788       16      ADAMANT Kyiv, Ukraine, UA
 9737       16      TOTNET-TH-AS-AP TOT Public Company Limi
12541       16      BTESPANA BT ES Datacenter and hosting A
12767       16      PRAGONET-AS , CZ
12772       16      ENFORTA-AS Enforta Autonomous System, R
12969       16      VODAFONE_ICELAND , IS
13009       16      VDATA , GB
14363       16      OUTFITTERS - Infobahn Outfitters, Inc.,
15738       16      UAEXPRESS Ukraine, UA
20853       16      ETOP-AS , PL
22442       16      HOU-PHONOSCOPE - PHONOSCOPE, US
23342       16      UNITEDLAYER - Unitedlayer, Inc., US
23383       16      METRORED S.A. DE C.V., HN
24122       16      BDCOM-BD-AS-AP BDCOM Online Limited, BD
24520       16      WIMAX-INHERENT-AS-ID PT. Cyber Network 
24521       16      DATAUTAMA-NET-AS-ID PT. DATA Utama Dina
24953       16      ASN-CARRIER66 AS MACRO: AS-24953 (custo
25335       16      NGS , GB
25447       16      JM-DATA Hackl-Str. 1, Object 2, OG2, AT
26166       16      COMWAVZ - Watch Communications, US
26292       16      ASN-SHREWS - Shrewsbury Electric and Ca
27272       16      Q9-AS-CAL3 - Q9 Networks Inc., CA
27895       16      Núcleo S.A., PY
29091       16      IPNXng, NG
30922       16      SIBELTELECOM-AS , RU
31519       16      VOICECOM-AS , LV
33667       16      CMCS - Comcast Cable Communications, LL
33771       16      SAFARICOM-LIMITED, KE
33874       16      VFM-AS Vodafone Malta Ltd AS, MT
34444       16      EUTELSAT-BACKBONE-AS , FR
