15M          Fifteen minutes
ISPC         International signaling point code (SS7)
ISPF         Interactive system productivity facility
ISPI         ISDN packet interface
ISRP         Information systems rules panel
ISS          Integrated switching system
ISS          Issue
ISSANRC      Interstate special access non-recurring
ISSC         Interfunction special service coordination
ISSCO        Intertoll
ISSN         Integrated special services network
ISSN         Intergrated specal services network
ISSS         ISDN supporting system
ISTA         Interrupt status register
ISUP         ISDN user part
ISUP         ISDN user part (SS7: q.76x)
ISUP         Integrated services user part
IT           Inactivity test (SS7: in SCCP)
IT           Intertandem tie trunk INTER/TRA blocal 1-26
ITAC         ISDN terminal adaptor circuit
ITC          Independent telephone company
ITC          Interdepartmental training center at dallas-texas for
ITD          Intertoll dial
ITEA         Interoffice trunks engineering and administration
ITF          Integrated test facility
ITG          Intergrated traffic generator
ITIMS        Integrated transportation information management system
ITIMS/IE     Itims/information expert
ITM          Cable pair item number
ITNA         Improves thrid number acceptance
ITNO         Item number
ITS          Institute of telecommunication science
ITS          Integrated test system
ITS          Interactive training system
ITSE         Incoming trunk service evaluation
ITSO         Incoming trunk service observation
ITSTC        Information technology steering committee (cen
ITT          Idle trunk test
ITU          International telecommunication union
ITU          International telecommunications union
ITVSE        Intermediary transport vendor service center
ITW          Instructional technology workshop
IU           Network/port interface unit
IUP          Installed user program (IBM)
IVD          Integrated voice data
IVP          Installation verification procedures
IVP          Installation verification program
IVTS         International video teleconferencing service
IWF          Interworking facility (gateway)
IWU          Interworking unit (gateway)
IX           Interactive executive
IXC          Or icinterexchange carrier
IXM          Interexchange mileage
IZ           Interzone
J            Enter centrex (CTX) or multiline hunt group (MLHG) number
JAD          Joint application design
JAM          Jumper activity management
JCL          Job control language
JDC          Japan digital cellular
JDC          Job duties code
JDI          Job disposition indicator
JDIP         Jmos/dopac interface process (comptroller system)
JE           Job evaluation
JEC          Journal entity code
JES          Job entry subsystem (IBM)
JES          Job entry system
JES 2        Job entry system 2 (IBM)
JES 3        Job entry system 3 (IBM)
JET          BTL TIRKS jumper evaluation technique
JFC          Job function code
JGF          Junctor grouping frame
JIB          Job information block (VMS)
JIM          Job information memorandum
JIS          Jurisdictional interstate services
JK           Jack
JKLAP        Jack/key/and lamp access panel
JL           Jumper length
JMOS         Job management operations system
JMOS/PT      JMOS/pricer-tracker
JMOS/RPTS    JMOS reports
JMOSCA       Jmos contract administration
JMX          Jumbogroup multiplex
JOSS         Job order status system (distribution services system)
JOSSVM       Job order status system/VM
JOVIAL       Jule's own version of the international algebraic language
JP71         Joint practice 71
JP80         Joint practice 80
JPH          Jumper placement history
JSC          Job status code
JSN          Junction switch number
JSW          Junctor switch
JTR          Jitter
JTRS         JMOS trouble reporting system (distribution services system)
JUICE        JMOS user input card entry (distribution services system)
K            DACS-SRDC
K            Equipment frame designation
K            Kilobit
KBPS         Kilobits per second
KCA          Key contributor award
KCO          Keep cost order
KD           Keyboard display
KDROP        Key display receive only printer
KDT          Keyboard display terminal
KERMIT       Kermit
KEY          Stop hunt or random make busy hunting
KFT          Kilofeet
KHZ          Kilo-hertz
KHZ          Kilohertz
KITSKOTS     Kansas inward toll service/Kansas outward toll service
KOHM         Kilohms
KOP          Thousands of operations per second
KP           Key pulse
KPR          Killer pair report
KSDS         Key sequence data set (IBM)
KSM          Create a transaction mask
KSR          Keyboard send-receive
KSU          Key service unit
KTA          Korea telecommunication authority (ROK)
KTS          Key telephone set
KTS          Key telephone system
KW           Keyword
L            Shift preference (if any) for this work to be performed.
L/AOS        Legal/advanced office system
L2DOWN       Level 2 is inoperable.
L2QLTY       Poor level 2 transmission quality.
L3-ERC       Layer 3 error control (IOS)
L3M          Layer 3 mgr. (IOS)
LA           Local area data channel INTER/TRA blocal 1-26
LA           Loop assignment
LAC          LAN application controller
LAC          Loop assignment center
LAD          Label definition
LAD          Loop activity data
LADS         Local area data service
LADT         Local access data transport
LADT         Local area data transport
LAI          Line equipment assignment inquiry
LAIS         Local automatic intercept system
LAJMS        Ledger and journal maintenance system
LAMA         Local automatic message accounting
LAMA-C       Computerized local AMA for No. 5 crossbar
LAN          Local area network
LANMS        Light amplified by stimulated emission of radiation
LAP          Link access protocol
LAPB         (LAP-B) link access procedure of balanced mode
LAPD         (LAP-D) link access procedure of D-channels
